,Fecha,Medio,Título,Resumen,Alcance
432,2025-06-02,Reforma.com (sitio),"Éstas son las mejores unis de México y el mundo, según CWUR","La Universidad Nacional Autónoma de México (UNAM), el Instituto Politécnico Nacional (IPN) y el Centro de Investigación y de Estudios Avanzados (Cinvestav) son consideradas las mejores instituciones de educación superior del País, según el Center for World University Rankings (CWUR) 2025.
 En su edición más reciente, la Máxima Casa de Estudios se sitúa en el primer lugar nacional y el 282 internacional, el IPN en el segundo sitio nacional y el 730 global, mientras que el Cinvestav ostenta el tercer puesto de México y el 767 del mundo.",8200000
433,2025-06-02,El Portavoz Noticias BC (sitio),Consejo General del INE convoca a las y los ciudadanos a ejercer su derecho al voto en la primera elección del Poder Judicial de la Federación,"Votar es un derecho, pero también es una obligación cívica: Guadalupe Taddei",5000
434,2025-06-02,Expansión Política CDMX (sitio),AMLO abandona el 'autoexilio político' para consumar su Reforma Judicial,"Palenque, Chiapas. En menos de 24 horas, esta ciudad vivió dos sorpresas. La primera vino de la naturaleza: una fuerte lluvia que refrescó a la localidad tras meses de un intenso calor de casi 40 grados. La segunda la protagonizó el expresidente Andrés Manuel López Obrador, quien reapareció en un acto público tras ocho meses de retiro político.",83400
435,2025-06-02,Forbes MX (sitio),Las 100 Mujeres más Poderosas de México 2025: 'Llegamos todas',"""No llego sola, llegamos todas"", dice la presidenta Claudia Sheinbaum Pardo frente a las mexicanas que dan testimonio de la primera mujer electa en las urnas para conducir el destino de México y quienes guardan la promesa de mejores condiciones para todas las mujeres.",449700
436,2025-06-02,AMX Edo de Mex,La Universidad Autónoma Metropolitana implementará el pase UAM para el ingreso a sus licenciaturas en el 2025.,"La Universidad Autónoma Metropolitana (UAM) implementará en 2025 el ""pase UAM"", una modalidad que permite a los estudiantes de bachillerato ingresar a diversas licenciaturas sin presentar examen de admisión. 
 
 Los aspirantes podrán seleccionar tres opciones de carrera entre 57 disponibles en áreas como ciencias básicas e ingeniería, ciencias biológicas y de salud, ciencias y artes para el diseño, y ciencias sociales y humanidades. 
 
 Las fechas clave incluyen el trámite del 20 de mayo al 3 de junio, el registro de solicitudes el 14 de junio, la publicación del listado de preaceptados el 1 de octubre, y el inicio de clases en la UAM.",47800
437,2025-06-02,NoticiasDe ESP (sitio),"La Universidad Autónoma, Carlos III y Pontificia Comillas se encuentran entre las 10 mejores universidades de España según el Ranking CYD","En publicaciones de investigación por profesor, 5 de las 6 públicas de la región están por encima de las 11 privadas analizadas",4000
438,2025-06-02,Semanario Zeta Baja California (sitio),"Según las tendencias, Hugo Aguilar sería presidente de la SCJN; ministras ""4t"" se quedan","Hugo Aguilar Ortiz, actual titular de la Coordinación de Derechos Indígenas, del Instituto Nacional de los Pueblos Indígenas (INPI), se perfilaba, hasta un corte de las 09:00 horas del 2 de junio de 2025 -tiempo de la Ciudad de México-, para presidir la Suprema Corte de Justicia de la Nación (SCJN), aunque, al igual que todos los demás candidatos que integrarían el Pleno del máximo tribunal constitucional, no tenían experiencia dentro del Poder Judicial de la Federación (PJF).",569300
439,2025-06-02,24-Horas.mx (Sitio),Mira las marchas y concentraciones para hoy 2 de junio,Aquí te decimos cuáles son las marchas y concentraciones que están previstas para este 2 de junio en la Ciudad de México.,268608
440,2025-06-02,Posta CDMX (Sitio),Marchas CDMX: 1 marcha y 4 concentraciones afectarán la movilidad este lunes 2 de junio,"Comenzamos un nuevo mes. Para evitar contratiempos o pagar multas, aprovecha para realizar la verificación vehicular de tu auto.",216600
441,2025-06-02,El Norte NL (sitio),"Jardín Xochitlalyocan, un paraíso medicinal","Junto al Antiguo Canal de Cuemanco, en pleno paisaje xochimilca, el Jardín de Plantas Medicinales y Aromáticas Xochitlalyocan (JPMAX) resguarda un pedacito de la cultura médica herbolaria de México.",7600000
442,2025-06-02,Mural JAL (sitio),Estudiantes del ITESO ganan torneo de robótica,"Con un robot que recolecta, clasifica y transporta granos de café, tres estudiantes de Ingeniería en Mecatrónica y uno de Ingeniería en Desarrollo de Software del Instituto Tecnológico y de Estudios Superiores de Occidente (ITESO), conquistaron el Torneo Mexicano de Robótica, celebrado en la Universidad Autónoma Metropolitana (UAM) en Iztapalapa, Ciudad de México.",1300000
443,2025-06-02,News Report MX (Sitio),Manifestaciones hoy en CDMX 2 de junio del 2025,¡Toma precauciones! Checa dónde y a qué hora habrá Marchas y Manifestaciones hoy en CDMX 2 de junio de 2025,11700
444,2025-06-02,ADN 40 (Sitio),Marchas y bloqueos de la CNTE hoy afectarán calles y avenidas,"En este comienzo de semana habrá marchas y bloqueos de la Coordinadora Nacional de Trabajadores de la Educación (CNTE) en diferentes puntos de la Ciudad de México (CDMX), según la Agenda de Movilizaciones de la Secretaría de Seguridad Ciudadana de la capital. Para hoy se prevén afectaciones al menos seis alcaldías.",7300
445,2025-06-02,Metro Noticias MX (Sitio),Es lunes se fue parte de los maestros pero siguen marchas y manifestaciones,"A pesar que se marchó parte de los maestros de la CNTE las manifestaciones es en la Ciudad de México continúan, aquí la agenda:",7000
446,2025-06-02,Gaceta UNAM CDMX (sitio),El CCH celebra 50 años de tradición teatral,"Montaje de alumnos de la Escuela Nacional Colegio de Ciencias y Humanidades. Foto: cortesía CCH. La Escuela Nacional Colegio de Ciencias y Humanidades, a través de la Secretaría Estudiantil y el Departamento de Difusión Cultural, celebra el 50 Aniversario de la Muestra de Teatro del CCH, con un festejo en el que estudiantes de sus cinco planteles (Azcapotzalco, Naucalpan, Vallejo, Oriente y Sur) son los protagonistas de producir, dirigir y actuar sus propias obras.",3070
447,2025-06-02,Reforma.com (sitio),"Jardín Xochitlalyocan, un paraíso medicinal","Junto al Antiguo Canal de Cuemanco, en pleno paisaje xochimilca, el Jardín de Plantas Medicinales y Aromáticas Xochitlalyocan (JPMAX) resguarda un pedacito de la cultura médica herbolaria de México.",8200000
448,2025-06-02,Publimetro (sitio),¿Dónde habrá marchas hoy lunes 2 de junio en CDMX? Consulta las vialidades cerradas,Para hoy se esperan diferentes manifestaciones y movilizaciones en la Ciudad de México; te compartimos qué hora y en dónde serán,454059
449,2025-06-02,La Razón ES (Sitio),"La Complutense y la Autónoma de Madrid, entre las cinco mejores universidades españolas","El World University Ranking (Clasificación Mundial de Universidades) 2025 sitúa a la Complutense como la tercera mejor universidad de España (253 del mundo) y a la Autónoma de Madrid en la quinta posición nacional de la clasificación (310 del mundo), que lidera la Autónoma de Barcelona como la mejor de España (126 del mundo). En segunda posición nacional figura la Universidad de Barcelona (136 del mundo) y, en el cuatro, la Universidad de Valencia (298 mundial).",4000
450,2025-06-02,Uno TV Noticias (Sitio),"Movilizaciones en CDMX, hoy 2 de junio: marchas, concentraciones y plantones",La Ciudad de México (CDMX) será escenario este lunes 2 de junio de 2025 de múltiples actividades que podrían generar afectaciones viales.,331000
